questions	answers
What is your name?	My name is Mohammed Arshad.
How are you?	I am doing well.
Who are you?	I am an AI assistant created by OpenAI.
How does the internet work?	The internet works by connecting computers through networks and protocols.
Who invented Python?	Python was created by Guido van Rossum.
How do airplanes fly?	Airplanes fly using lift generated by their wings.
Who discovered gravity?	Gravity was discovered by Isaac Newton.
How does a computer work?	A computer processes instructions using hardware and software.
Who is the founder of Microsoft?	Bill Gates and Paul Allen founded Microsoft.
How do plants make food?	Plants make food through photosynthesis.
Who invented the telephone?	Alexander Graham Bell invented the telephone.
How does machine learning work?	Machine learning learns patterns from data using algorithms.
Who invented electricity?	Benjamin Franklin contributed to the study of electricity.
How do neural networks learn?	Neural networks learn by adjusting weights during training.
Who invented the light bulb?	Thomas Edison is famous for improving the light bulb.
How does cloud computing work?	Cloud computing delivers services through internet-connected servers.
Who is the CEO of Tesla?	Elon Musk is the CEO of Tesla.
How do birds fly?	Birds fly using wings and aerodynamic motion.
Who wrote Hamlet?	Hamlet was written by William Shakespeare.
How does GPS work?	GPS works using satellites to determine location.
Who discovered America?	Christopher Columbus is commonly associated with discovering America.
How do mobile phones communicate?	Mobile phones communicate using radio signals and cellular networks.
Who created Facebook?	Facebook was created by Mark Zuckerberg.
How does artificial intelligence work?	Artificial intelligence uses algorithms and data to simulate intelligence.
Who was Albert Einstein?	Albert Einstein was a physicist known for the theory of relativity.
How do vaccines work?	Vaccines train the immune system to recognize diseases.
Who invented the airplane?	The Wright brothers invented the airplane.
How does blockchain work?	Blockchain stores data in secure linked blocks across a network.
Who discovered penicillin?	Alexander Fleming discovered penicillin.
How does a search engine work?	Search engines index and rank web pages for user queries.
What is AI?	Artificial Intelligence is the simulation of human intelligence by machines.
What is machine learning?	Machine learning is a branch of AI that learns from data.
What is deep learning?	Deep learning uses neural networks with many layers.
What is Python?	Python is a popular programming language.
What is NLP?	Natural Language Processing helps computers understand language.
What is cloud computing?	Cloud computing provides services over the internet.
What is a database?	A database is an organized collection of data.
What is cybersecurity?	Cybersecurity protects systems from attacks.
What is HTML?	HTML is used to create web pages.
What is an operating system?	An operating system manages computer hardware and software.